Tender Title,Organization,Description,Procurement stage,Notice status,Approach to market date,Closing,Contract location,Min Contract value,Max Contract value,Publication date,Last Edited
"Framework for Play Parks Supplies, Equipment and Services",North East Lincolnshire Council,"The Authority is inviting you to tender for Framework for Play Parks Supplies, Equipment and Services. The Invitation to Tender has been split into 3 lots and Tenderers can choose to submit a bid for one or all of the Lots. The Lots are: • Lot 1 - Supply and Installation of New/ Replacement Equipment and Surfacing  • Lot 2 - Supplies for Play ...",Opportunity,Open,Not Available,"12 December 2022, 12pm",DN31 1HU,0,800000,10 November 2022,Not Available
Educational Theatre - Road Safety and Active Travel,London Borough Of Lambeth,"Lambeth Council is looking for a theatre company that can deliver 30 sessions of in-school theatre performances on road safety. The Educational Theatre should target Key Stage 1 & 2 pupils, and Year 7s with messaging about safe behaviours on the roads as well as the benefits of active travel. 
We are seeking applications from organisations who ...",Opportunity,Open,Not Available,"2 December 2022, 12pm",London,30000,Not Available,10 November 2022,10 November 2022
Demand Management and Renewables DPS,Crown Commercial Service,"Candidates will be assessed in accordance with Section 5 of the 2015 Public Contract Regulations (implementing the directive) on the basis of information provided in response to an invitation to tender (ITT) registering for access.

Suppliers will be assessed on their response to the selection criteria in their request to participate for a place...",Opportunity,Open,Not Available,"25 November 2026,  3pm","United Kingdom, Isle of Man, Channel Islands, British Oversea Territories, Europe, Rest of the World",800000000,Not Available,28 September 2022,10 November 2022
BP1003 - Consultation for CCTV Maintenance,Broxtowe Borough Council,Consultation of the provision of CCTV Maintenance Services. See documents for further information.,Early engagement,Open,Not Available,18 November 2022,East Midlands,Not Available,Not Available,10 November 2022,Not Available
"Health Checks Software, Equipment and Consumables",Newcastle City Council,"We are looking to hold virtual market engagement sessions via Teams end Nov / beg Dec 2022.  We are looking for companies who can provide the following;
- software to conduct health checks 
- equipment and consumables for blood tests as part of the health check
- training for those conducting the health checks
If you work in this area and would...",Early engagement,Open,Not Available,24 November 2022,North East,Not Available,Not Available,10 November 2022,Not Available
ESPH CN Mayfield and Five Ashes Community and Medical Centre (ESPH560),Wealden District Council,"Wealden District Council are working with Mayfield and Five Ashes Parish Council to create a replacement community centre which will incorporate a medical/health centre.  The Council's are looking to appoint a contract to progress the design of the buildings and to build out the development.
      The proposed site is at the north-west part of ...",Opportunity,Open,Not Available,"7 December 2022, 12pm",BN27 2AX,0,4250000,7 November 2022,10 November 2022
Catering and Refrigeration Maintenance,LIFECYCLE MANAGEMENT GROUP LIMITED,Services,Opportunity,Open,Not Available,"12 December 2022,  2pm",London,0,Not Available,10 November 2022,Not Available
High Voltage Electricity Switchgear Maintenance (2023-2027),Magnox Limited,"Magnox Limited is currently preparing to initiate a procurement process for routine and call out maintenance of High Voltage Switchgear at various sites in the UK and wish to carry out pre-market engagement with interested suppliers to investigate the supply chain capabilities, expertise, and appetite to enter into a multiyear contract to maintain...",Early engagement,Open,Not Available,24 November 2022,BS35 1RQ,Not Available,Not Available,27 October 2022,10 November 2022
Light Touch Dynamic Purchasing System for the Provision of Homecare Services to Rutland County Council,Welland Procurement Unit,"The Council wishes to invite bidders to register as a supplier on a light touch Dynamic Purchasing System (DPS) for the supply of services in respect of Homecare for Rutland County Council clients located in the district of Rutland. The overall aims of the Service are:
to enable people who need care to be as independent, active and safe as ...",Opportunity,Open,Not Available,"22 November 2022, 12pm",East Midlands,6920000,Not Available,10 November 2022,Not Available
Supply of Legionella Control Services,UNIVERSITY OF CHESTER,"The University of Chester is seeking tenders for Legionella Control Services through the UK Open Procedure under the Public Contracts Regulations 2015 and The Public Procurement (Amendment etc.) (EU Exit) Regulations 2020.

The University is seeking to appoint one contractor to provide legionella control services as set out in Document 3 - ...",Opportunity,Open,Not Available,"12 December 2022, 10am",CH1 4BJ,600000,1000000,10 November 2022,Not Available
Fencing & Gates - Fencing miscellaneous (20% VAT),London Fire Brigade,"Removal of the existing fire station yard gates and posts. 

Replacing with commercial grade electronic motorised units, provision of electrical services, security system and telephone handset operation system. 
 This opportunity has been distributed on adamprocure.co.uk",Opportunity,Open,Not Available,"6 December 2022, 12pm",United Kingdom,100000,Not Available,10 November 2022,Not Available
Clinical Service Contract Pharmacy Service Provisions for LCHS and LPFT,United Lincolnshire Hospitals NHS Trust,The Contract will be to provide Pharmaceutical Services to Lincolnshire Partnership NHS Foundation Trust (LPFT) and Lincolnshire Community Health Services NHS Trust (LCHS) and Lincolnshire Sexual Health (LiSH) as part of LCHS.,Opportunity,Open,Not Available,"8 December 2022, 12pm",LN5 7JH,2000000,Not Available,8 November 2022,10 November 2022
GB-Middlesbrough: ERDF DigitalCity Digital Health Checks/Audits for Brick and Clicks Programme,Teesside University,DigitalCity wish to appoint a consultant to help target and identify companies who have a physical base in the Tees Valley as well as an e-commerce solution or platform that enables them to sell nationally/internationally.  An initial health check will be carried out by the Consultant to highlight any challenges and needs within the business. ...,Opportunity,Open,Not Available,"25 November 2022,  5pm",North East,25000,50000,10 November 2022,Not Available
Quotation for preparing and drafting a Sustainability Appraisal and Habitats Regulation Assessment for the Emerging Sandwell Development Plan,Sandwell Metropolitan Borough Council,Sandwell Metropolitan Borough Council (The Council) wishes to invite suitably experienced and qualified consultants to undertake a Sustainability Appraisal (SA) and Habitats Regulations Assessment (HRA) of the emerging Sandwell Development Plan in accordance with the National Planning Policy Framework (NPPF) and national guidance contained in the ...,Opportunity,Open,Not Available,"24 November 2022,  3pm",B69 3DB,56000,70000,10 November 2022,Not Available
"Bude Canal Dredging Zones 1,2 & 3",Corserv Limited,"Corserv on behalf of Cormac Solutions Ltd works to include all necessary resources to carry out the works in accordance with all information contained within this enquiry under an NEC3 short subcontract Option A priced contract with activity schedule.

The nature of the project is the dredging of Bude Canal Zones 1,2 and 3 as detailed in the ...",Opportunity,Open,Not Available,"5 December 2022,  2pm",England,150000,Not Available,10 November 2022,Not Available
Provision of a Transitional Support Service in a Residential Care Setting,The Borough Council of Calderdale,"The Borough Council of Calderdale (the Council) invites Tenders from Tenderers who wish to be considered for the provision of a Transitional Support Service in a Residential Care Setting (the ""Service""). It is anticipated that the contract will commence on the 1st April 2023 for a period of three (3) years with an option to extend for two (2) ...",Opportunity,Open,Not Available,"12 December 2022, 12pm",Yorkshire and the Humber,0,1770990,10 November 2022,Not Available
Boston May Fair Security,Boston Borough Council,Provision of SIA security and stewarding/traffic direction for the annual May Fair held in Boston town centre over a period of approximately ten days around the May Bank Holiday each year.,Opportunity,Open,Not Available,"16 December 2022, 12pm",East Midlands,150000,Not Available,10 November 2022,Not Available
Minor Construction Work and Building Services,Norfolk County Council,"Norfolk County Council wishes to enter into a framework agreement with suitable contractors for general building works, plumbing and mechanical and electrical services across Norfolk and adjoining counties. 
      There are 3 Lots (Lot 1 subdivided in to two value ranges) and applicants can apply for any or all lots. 
      Lot 1 - General Building...",Opportunity,Open,Not Available,"1 December 2022, 10am",NR1 2DH,0,Not Available,10 November 2022,Not Available
Hasselblad H6D and accessories,Historic England,"The following items are needed: please send quotes as per the attached tender 
      Hasselblad H6D-100c Medium Format Digital Camera 
      Hasselblad HCD 24mm f4.8 Lens 
      Hasselblad Rechargeable Battery Grip 3200 Li-ion x 2 
      Hasselblad Battery Charger (H Series)",Opportunity,Open,Not Available,"25 November 2022,  5:15pm",SN2 2EH,0,Not Available,10 November 2022,Not Available
Cleaning and Locking Services,NEWQUAY TOWN COUNCIL,"Newquay Town Council are investigating the possibility of using a contractor for locking and cleaning its public conveniences, on a daily basis (7 days a week).

The Council has 12 toilets throughout its town/area (2 are closed).
 
The sites are as follows;
•	Beach Road (Closed)
•	Chester Road
•	Killacourt
•	Esplanade
•	Fore ...",Opportunity,Open,Not Available,"30 November 2022,  5pm",TR7 1AF,10000,Not Available,19 October 2022,10 November 2022
GB-London: FSCS443 Commercial Property Consultancy Services,Financial Services Compensation Scheme,"Consultant will research, draft and present a report to FSCS at or as soon as reasonably possible prior to 28th October 2023 to assist FSCS in making an informed decision relating to the location of the FSCS office post December 2025. 
      The Office Location report will include but not be limited to:
      (i)How much office space FSCS the ...",Opportunity,Open,Not Available,"24 November 2022,  2pm",London,50000,100000,10 November 2022,Not Available
"TSC for the Repair, Maintenance, Periodic Inspection and Servicing of Swimming Pool Systems and Plant",EU SUPPLY LIMITED,"The contract will cover the repair, maintenance, periodic inspection and testing of Swimming Pool Systems and Plant in properties controlled by the East Riding of Yorkshire Council",Opportunity,Open,Not Available,"14 December 2022, 12pm",Yorkshire and the Humber,0,555000,9 November 2022,10 November 2022
Mullacott CRS Fit Out Works,MCA - Maritime and Coastguard Agency,"Newly acquired Coastguard Rescue Station (CRS) in Mullacott North Devon, requires some external but mainly internal fit out to meet MCA operational standard.",Opportunity,Open,Not Available,"1 December 2022, 11am",South West,80000,Not Available,10 November 2022,Not Available
Public Contact Improvement Programme (PCIP) - Force Control Room Technology Solutions,The Police and Crime Commissioner for Derbyshire,Public Contact Improvement Programme (PCIP) - Force Control Room Technology Solutions,Opportunity,Open,Not Available,"19 January 2023, 12pm",DE5 3RS,12500000,15000000,10 November 2022,Not Available
Expression of Interest to Tender for Structural Stabilization Works,Shropshire County Council,"Applicants are invited to express an interest in tendering for Structural Stabilization works to owned properties in the North and West of Shropshire for a period of 3 years with the potential of further works. Works will commence early January 2023
 
Shropshire Towns and Rural Housing manage a stock of approx. 4100 dwellings for Shropshire ...",Opportunity,Open,Not Available,"30 November 2022, 12pm",West Midlands,50000,Not Available,10 November 2022,10 November 2022
Artificial Intelligence Dynamic Purchasing System,Crown Commercial Service,"Artificial intelligence services including programming services of application software, business analysis consultancy services, software development services, software implementation services, and data services.",Opportunity,Open,Not Available,"4 November 2023, 12am",United Kingdom,200000000,Not Available,29 April 2022,10 November 2022
Roofing and Associated Works Framework,Selwood Housing Group,Selwood Housing are currently out to tender for a framework for the provision of Roofing and Associated Works. It is anticipated that five successful bidders will be appointed onto the framework and will then be asked to participate in a further competition for the delivery of works across two geographical lots. Further detail on the lots can be ...,Opportunity,Open,Not Available,"18 November 2022,  2pm",BA14 8RT,0,6000000,17 October 2022,10 November 2022
Artificial Intelligence Dynamic Purchasing System,Crown Commercial Service,"Crown Commercial Service is setting up a dynamic purchasing system for the supply of artificial intelligence services. Crown Commercial Service is inviting suppliers to request to participate in the Artificial Intelligence DPS. 

This DPS offers a simple route to purchase Artificial Intelligence services in the public sector, allowing customers ...",Opportunity,Open,Not Available,"4 November 2023, 11:59pm","United Kingdom, Isle of Man, Channel Islands",200000000,Not Available,5 August 2020,10 November 2022
RM6173,Crown Commercial Service,"Automation services including the design, build, and running of automation software, maintenance and support, consulting, and provision of software licences.",Opportunity,Open,Not Available,"15 November 2023, 12am",United Kingdom,100000000,Not Available,29 April 2022,10 November 2022
Soft Market Test for Car Club Cornwall,Cornwall Council,Cornwall Council uses the Supplying the South West Portal found at www.supplyingthesouthwest.org.uk  to advertise all  opportunities.  New users to the system must register on this site to obtain access to the council's e-tendering system (Proactis).  The Soft Market Test documents for Car Club Cornwall can be accessed via this portal.,Early engagement,Open,Not Available,12 December 2022,England,Not Available,Not Available,10 November 2022,10 November 2022
Welland Homes Management Agent,Breckland District Council and South Holland District Council,"Welland Homes Ltd is a private housing investment and development company, wholly-owned by South Holland District Council. The company has an approved investment plan to build and acquire homes for market rent. 1.3 Welland Homes Ltd has a current portfolio of 39 dwellings, comprising 17 x 2 bed properties, 22 x 3 bed properties. Of the 39 ...",Opportunity,Open,Not Available,"7 December 2022,  5pm",PE11 2XE,10,1000,10 November 2022,10 November 2022
"Tree Works, Maintenance, and Tree Removal Services",Sunderland City Council,"Sunderland City Council are looking to put in place a framework for the provision of Tree Works, Maintenance, and Tree Removal Services.
The Council intends to make the resulting agreement available for use by all Contracting Authorities located in Sunderland.

The framework will be ranked, with the option to carry out a further competition (at the...",Opportunity,Open,Not Available,"15 December 2022, 12pm",England,0,4500000,10 November 2022,Not Available
GB-Benfleet: REPLACEMENT OF VINYL FLOORING TO SWIMMING POOL SIDE AREAS,Castle Point Borough Council,"REPLACEMENT OF VINYL FLOORING TO SWIMMING POOL SIDE AREAS AT WATERSIDE FARM LEISURE CENTRE, CANVEY ISLAND, ESSEX",Opportunity,Open,Not Available,"18 November 2022,  3pm",East of England,10000,25000,10 November 2022,Not Available
Prior Information Notice (PIN) for Ealing Property Services Facilities Management Contract,London Borough of Ealing,"The provision of Planned and Reactive maintenance services to corporate and community service properties managed by its Property Services department.

It is proposed that contracts would be procured in Lots that may be let individually or together. Ealing is keen to provide opportunities for small to medium sized companies and those with a local ...",Early engagement,Open,Not Available,31 March 2023,England,Not Available,Not Available,9 November 2022,10 November 2022
P5863 Valuation Services for Compulsory Purchase,Tower Hamlets,The main objective of this procurement exercise is to appoint external surveyors to undertake valuations on behalf of the Council for Compulsory Purchase Valuations (CPVs) and to appoint a Right of Light (RoL) Consultant.,Opportunity,Open,Not Available,"9 December 2022, 12pm",England,957000,Not Available,10 November 2022,Not Available
TSC for the Maintenance and Periodic Inspection and Servicing of Fire Alarm Systems and Associated Equipment,East Riding of Yorkshire Council,"The repair, maintenance, installation, inspection and servicing of Fire Alarm Systems and Associated Equipment in various occupied operational council properties located within the geographical boundaries of the East Riding of Yorkshire.",Opportunity,Open,Not Available,"15 December 2022, 12pm",Yorkshire and the Humber,0,1950000,10 November 2022,Not Available
Employee Survey Platform and Support,NOTTINGHAM TRENT UNIVERSITY,"NTU wish to undertake a pre-procurement market engagement exercise before any possible procurement is started, to determine suitable Employee Survey Platform and Support, systems and capabilities. 

In 2018, we conducted the last of our biannual employee engagement surveys in collaboration with Capita. Since that time, Capita have withdrawn this...",Early engagement,Open,Not Available,24 November 2022,East Midlands,Not Available,Not Available,10 November 2022,Not Available
One Horton Heath SID Lighting Consultant,Eastleigh Borough Council,"Lighting Consultant Services One Horton Heath Secondary Infrastructure Delivery. 

To tender for this opportunity please use the ProContract link below: 

https://procontract.due-north.com/Advert?advertId=e947d814-5360-ed11-811b-9f38301b3091&fromProjectDashboard=True",Opportunity,Open,Not Available,"2 December 2022, 12pm",England,0,Not Available,10 November 2022,Not Available
